Ticker,MS(0),ROIC(0),MS(5),ROIC(5),MS(10),ROIC(10)
PIH,0.66,0.09,0.66,0.09,0.66,0.09
FLWS,1.41,0.31,1.27,0.26,1.18,0.23
TWOU,9.84,0.52,6.69,0.34,5.38,0.27
EGHT,2.52,0.05,2.31,0.05,2.17,0.04
AVHI,0.98,0.02,0.98,0.02,0.98,0.02
SHLM,1.13,0.06,1.13,0.06,1.13,0.06
AAON,5.71,0.29,5.71,0.29,5.71,0.29
ABAX,5.72,0.19,4.93,0.17,4.42,0.15
ABMD,11.17,0.25,8.28,0.18,6.82,0.15
AXAS,1.21,0.13,1.21,0.13,1.21,0.13
ACTG,0.65,0.12,0.64,0.12,0.63,0.11
ACHC,2.62,0.1,2.62,0.1,2.62,0.1
ACAD,11.15,0.44,8.25,0.33,6.93,0.28
AXDX,14.76,0.77,9.82,0.5,7.99,0.41
XLRN,5.58,0.52,3.34,0.32,2.52,0.25
ARAY,1.94,0.16,1.36,0.12,1.09,0.09
ACRX,2.5,0.65,1.33,0.36,0.96,0.26
ACET,1.45,0.09,1.42,0.09,1.4,0.09
AKAO,1.59,0.62,0.74,0.31,0.51,0.22
ACHN,7.21,0.86,3.78,0.43,2.73,0.31
ACIW,1.87,0.16,1.52,0.13,1.32,0.11
ACOR,1.51,0.12,1.29,0.1,1.15,0.09
ACFN,0.53,0.54,0.37,0.41,0.29,0.33
ACPW,1.68,0.47,1.08,0.32,0.84,0.25
ATVI,1.46,0.13,1.3,0.11,1.2,0.1
ACTA,0.97,0.14,0.91,0.13,0.87,0.13
ACUR,2.9,0.82,1.59,0.49,1.16,0.37
ACXM,1.31,0.02,1.31,0.02,1.31,0.02
ADMS,1.89,0.54,1.5,0.41,1.3,0.35
ADMP,4.06,0.59,3.19,0.46,2.67,0.38
ADUS,1.73,0.11,1.73,0.11,1.73,0.11
AEY,0.56,0.05,0.56,0.05,0.56,0.05
ADEP,3.1,0.32,1.67,0.19,1.2,0.14
ADMA,3.9,0.91,2.09,0.5,1.55,0.37
ADBE,3.66,0.13,3.0,0.1,2.61,0.09
ADTN,1.2,0.24,0.78,0.16,0.61,0.12
AEIS,1.49,0.14,1.19,0.12,1.01,0.1
AMD,1.07,0.38,0.55,0.21,0.39,0.15
ADXS,17.29,1.01,10.69,0.58,8.17,0.43
ADVS,5.75,0.35,3.9,0.24,3.07,0.19
AEGR,2.2,0.24,1.79,0.18,1.56,0.15
AEGN,0.83,0.06,0.83,0.06,0.83,0.06
AEHR,2.84,0.73,1.43,0.38,1.0,0.27
AMTX,1.83,0.28,1.8,0.28,1.77,0.27
AEPI,1.18,0.04,1.18,0.04,1.18,0.04
AERI,2.43,0.7,1.81,0.47,1.53,0.38
AVAV,1.59,0.13,1.28,0.1,1.1,0.09
AFFX,2.21,0.15,1.68,0.11,1.4,0.09
AGEN,7.08,0.71,4.29,0.47,3.3,0.37
AGRX,5.33,0.64,3.11,0.36,2.29,0.26
AGYS,1.29,0.19,0.91,0.14,0.74,0.11
AGIO,7.7,0.53,5.42,0.31,4.42,0.24
AIRM,1.88,0.14,1.88,0.14,1.88,0.14
AIRT,1.08,0.15,1.08,0.15,1.08,0.15
ATSG,0.91,0.06,0.91,0.06,0.91,0.06
AKAM,3.59,0.16,3.34,0.15,3.16,0.14
AKBA,2.12,0.52,1.5,0.38,1.24,0.31
AKER,1.44,0.24,1.23,0.21,1.1,0.18
AKRX,3.33,0.1,3.21,0.1,3.13,0.09
ALSK,0.67,0.04,0.67,0.04,0.67,0.04
AMRI,1.62,0.05,1.61,0.05,1.61,0.05
ALDR,13.99,1.35,5.6,0.52,3.74,0.35
ALDX,7.55,1.3,3.93,0.66,2.84,0.48
ALXN,8.38,0.37,6.63,0.28,5.71,0.24
ALXA,1.64,0.71,0.88,0.41,0.63,0.3
ALCO,1.41,0.05,1.41,0.05,1.41,0.05
ALGN,4.82,0.27,4.21,0.23,3.82,0.21
ALIM,2.41,0.59,1.91,0.43,1.64,0.35
ALKS,4.7,0.19,3.61,0.15,3.06,0.12
ALGT,2.75,0.13,2.75,0.13,2.75,0.13
AFOP,3.23,0.24,2.91,0.22,2.7,0.2
AIQ,1.48,0.11,1.48,0.11,1.48,0.11
AHGP,1.67,0.25,1.67,0.25,1.67,0.25
ARLP,1.43,0.25,1.43,0.25,1.43,0.25
AHPI,0.49,0.08,0.49,0.08,0.49,0.08
AMOT,2.51,0.22,2.13,0.19,1.91,0.17
ALQA,2.76,0.9,2.74,0.89,2.71,0.88
MDRX,1.16,0.09,0.95,0.07,0.83,0.06
AFAM,1.33,0.07,1.33,0.07,1.33,0.07
ALNY,8.52,0.57,6.17,0.41,5.1,0.34
AOSL,0.65,0.08,0.53,0.07,0.46,0.06
ATEC,0.64,0.08,0.57,0.07,0.52,0.06
ALTR,2.37,0.17,1.97,0.14,1.72,0.12
ASPS,1.34,0.22,1.34,0.22,1.34,0.22
AIMC,1.44,0.13,1.36,0.12,1.3,0.12
AMAG,1.6,0.06,1.52,0.05,1.45,0.05
AMRN,3.56,0.75,1.74,0.39,1.21,0.28
AMRK,0.6,0.03,0.6,0.03,0.6,0.03
AMZN,3.91,0.03,3.91,0.03,3.91,0.03
AMBC,0.6,0.03,0.6,0.03,0.6,0.03
AMBA,7.7,0.46,5.01,0.28,3.91,0.21
EPAX,0.8,0.38,0.8,0.38,0.8,0.38
AMCX,2.16,0.15,2.16,0.15,2.16,0.15
AMDA,0.9,0.7,0.67,0.51,0.55,0.42
UHAL,1.42,0.11,1.42,0.11,1.42,0.11
ATAX,1.02,0.03,1.02,0.03,1.02,0.03
AAL,1.24,0.1,1.24,0.1,1.24,0.1
AGNC,0.22,0.0,0.22,0.0,0.22,0.0
MTGE,0.18,0.0,0.18,0.0,0.18,0.0
ACSF,0.93,0.04,0.93,0.04,0.93,0.04
ACAS,0.76,0.03,0.76,0.03,0.76,0.03
ANCI,1.24,0.41,1.24,0.41,1.24,0.41
AETI,1.22,0.13,1.17,0.13,1.14,0.13
AMIC,0.5,0.04,0.5,0.04,0.5,0.04
ANAT,0.12,0.01,0.12,0.01,0.12,0.01
APEI,1.76,0.23,1.76,0.23,1.76,0.23
ARII,1.21,0.16,1.21,0.16,1.21,0.16
ARCP,0.79,0.03,0.79,0.03,0.79,0.03
ASEI,1.28,0.16,0.97,0.13,0.81,0.11
AMSWA,2.27,0.14,1.88,0.12,1.65,0.1
AMSC,0.51,0.46,0.38,0.35,0.31,0.28
AMWD,2.3,0.13,2.3,0.13,2.3,0.13
CRMT,1.37,0.02,1.37,0.02,1.37,0.02
AMSF,0.59,0.05,0.59,0.05,0.59,0.05
AMGN,2.24,0.15,1.91,0.13,1.71,0.12
FOLD,5.26,0.82,3.16,0.41,2.37,0.29
AMKR,0.97,0.08,0.92,0.08,0.88,0.07
AMPH,1.83,0.12,1.48,0.1,1.28,0.08
AMSG,0.97,0.1,0.97,0.1,0.97,0.1
ASYS,1.63,0.25,1.29,0.2,1.09,0.16
AFSI,0.46,0.03,0.46,0.03,0.46,0.03
AMRS,2.27,0.6,1.25,0.35,0.9,0.26
ANAC,12.72,0.99,6.92,0.48,5.06,0.34
ANAD,1.99,0.96,0.7,0.38,0.45,0.25
ADI,2.99,0.18,2.42,0.15,2.09,0.13
ALOG,1.79,0.19,1.35,0.14,1.12,0.12
AMCF,0.67,0.05,0.67,0.05,0.67,0.05
ANGI,2.65,0.3,2.65,0.3,2.65,0.3
ANGO,0.97,0.06,0.88,0.06,0.83,0.05
ANIP,3.31,0.2,3.24,0.19,3.19,0.18
ANIK,2.66,0.38,2.4,0.34,2.23,0.31
ANSS,2.81,0.18,2.41,0.16,2.17,0.14
